CÓDIGO_MUNICIPIO,TASA_MATRICULACIÓN_5_16,COBERTURA_BRUTA,SEDES_CONECTADAS_A_INTERNET
68686,102.5,121.48,23.08
68689,78.1,87.85,30.93
68705,89.3,100.7,16.67
68720,70.0,80.39,20.69
68745,102.3,121.74,19.57
68755,95.8,110.04,48.48
68770,99.3,109.57,33.33
68773,75.5,84.44,14.81
68780,106.1,119.24,13.79
68820,84.2,92.41,19.23
68855,117.3,126.82,53.85
68861,79.1,92.22,25.49
68867,55.6,61.46,16.67
68872,117.3,134.33,28.57
68895,113.6,129.11,24.0
70001,98.5,111.53,94.85
70110,91.2,104.07,27.27
70124,103.9,117.49,33.33
70204,129.4,149.57,46.67
70215,106.4,123,18.92
70221,96.1,112.5,23.08
70230,89.0,112.46,44.44
70233,82.7,91.28,68.75
70235,90.4,107.01,48.0
70265,84.7,95.8,45.45
70400,98.5,115.05,37.04
70418,114.4,132.03,42.86
70429,107.9,129.12,23.08
70473,77.2,92.53,26.32
70508,102.4,118.64,64.1
70523,82.6,95.77,52.17
70670,108.1,127.45,28.95
70678,90.4,105.03,15.56
70702,98.8,111.94,47.06
70708,92.5,104.26,34.69
70713,94.1,109.84,34.38
70717,115.2,134.05,25.0
70742,76.6,87.33,32.14
70771,106.3,120.79,67.14
70820,86.6,99.4,36.36
70823,106.3,120.25,48.0
73001,84.4,95.21,10.65
73024,80.0,91.26,29.41
73026,78.2,84.64,65.52
73030,79.3,86.19,50.0
73043,41.3,44.89,25.0
73055,90.2,100.57,45.0
73067,84.5,93.5,18.56
73124,83.2,93.8,12.82
73148,106.3,118.95,62.5
73152,79.8,85.18,37.04
73168,92.6,107.23,12.03
73200,62.9,77.27,68.75
73217,81.2,86.56,34.55
73226,79.4,91.52,28.21
73236,92.6,98.01,28.57
73268,85.9,95.1,14.63
73270,87.3,97.12,56.67
73275,78.9,94.89,38.89
73283,92.7,101.76,24.68
73319,85.7,96.14,29.41
73347,82.8,90.65,19.35
73349,82.1,98.25,10.0
73352,93.7,110.59,45.71
73408,94.7,108.11,18.75
73411,89.0,106.14,10.53
73443,105.0,116.33,9.09
73449,103.8,117.49,4.0
73461,65.5,74.96,16.67
73483,67.6,74.54,25.71
73504,85.1,90.59,24.3
73520,85.9,91.06,58.33
73547,71.9,78.93,44.44
73555,79.2,89.34,13.46
73563,112.2,122.58,44.0
73585,72.4,82.18,25.64
73616,71.6,77.85,16.83
73622,87.7,97.93,20.69
73624,105.8,117.16,14.12
73671,84.8,91.77,33.33
73675,90.5,103.78,59.32
73678,64.4,70.17,53.33
73686,82.8,96.28,25.93
73770,64.0,68.52,33.33
73854,62.8,67.5,52.63
73861,56.1,62.53,19.23
73870,71.8,78.07,17.07
73873,96.7,111.9,16.0
76001,75.2,83.85,96.5
76020,46.1,54.23,12.5
76036,89.8,106.1,38.1
76041,74.3,86.89,30.23
76054,69.7,82.33,38.1
76100,96.6,114.98,53.85
76109,70.7,85.76,49.06
76111,106.7,125.96,43.55
76113,100.2,117.15,24.39
76122,77.3,87.88,12.2
76126,100.9,123.47,22.73
76130,103.7,116.75,25.81
76147,83.3,93.47,2.33
76233,105.9,119.46,35.14
76243,73.8,84.32,64.1
76246,50.9,56.64,18.18
76248,97.2,109.74,23.53
76250,91.8,109.5,61.54
76275,97.2,110.71,15.05
76306,111.1,125.87,28.57
76318,80.4,94.4,34.48
76364,89.5,113.29,71.01
76377,105.3,120.04,39.29
76400,75.4,85.22,20.0
76403,89.6,104.19,29.41
76497,55.7,64.38,30.0
76520,97.3,111.88,19.13
76563,73.3,86.26,44.74
76606,99.0,114.54,36.67
76616,104.3,129.02,29.73
76622,102.4,117.85,25.58
76670,80.9,92.4,30.77
76736,71.6,82.47,18.57
76823,69.2,80.59,38.46
76828,82.0,101.86,60.0
76834,90.3,102.75,59.09
76845,88.3,101.31,21.43
76863,81.0,99.61,40.0
76869,88.9,101.34,10.0
76890,91.0,102.96,54.17
76892,90.1,101.73,100.0
76895,82.8,97.98,25.0
81001,66.6,77.37,39.13
81065,70.5,80.78,36.63
81220,73.8,80.96,92.31
81300,65.6,73.6,29.82
81591,70.4,75.31,22.22
81736,85.6,99.25,33.33
81794,89.7,104.42,31.93
85001,102.2,117.34,4.3
85010,78.1,90.9,28.89
85015,58.4,65.23,11.11
85125,88.9,106.08,16.67
85136,70.9,76.63,12.5
85139,122.5,139.05,29.03
85162,91.9,108.29,84.62
85225,78.2,89.06,9.52
85230,114.5,132.5,20.0
85250,121.9,145.07,9.33
85263,124.8,142.05,13.04
85279,16.0,24.8,9.09
85300,101.6,124.7,45.45
85315,47.6,55.47,33.33
85325,79.5,88.57,8.82
85400,84.1,93.31,10.42
85410,97.1,112.26,11.54
85430,75.6,86.66,19.35
85440,119.3,131.65,12.5
86001,98.7,114.74,28.3
86219,76.6,88.67,33.33
86320,55.2,63.87,14.62
86568,89.0,111.75,15.19
86569,62.0,70.68,17.19
86571,78.2,89.2,5.45
86573,139.7,157.96,11.7
86749,103.9,121.84,33.33
86755,54.9,68.52,16.67
86757,48.4,55.78,22.58
86760,47.1,54.52,41.67
86865,52.3,61.75,25.3
86885,105.1,119.22,19.7
88001,66.2,70.61,84.21
88564,92.0,98.04,60.0
91001,116.9,137.19,32.43
91263,25.1,30.72,22.22
91405,54.17,63.01,0.0
91407,52.6,61.14,20.0
91460,54.26,65.28,0.0
91530,28.85,29.7,0.0
91536,38.83,42.52,16.67
91540,71.4,84.18,6.67
91669,43.83,47.57,0.0
91798,57.3,68.79,8.33
94001,117.7,145.58,16.22
94343,125.3,150.32,30.77
94663,27.0,35.5,100.0
94883,49.9,62.48,20.0
94884,29.85,35.46,0.0
94885,56.36,60,0.0
94886,25.8,26.33,16.67
94888,38.83,45.21,0.0
95001,64.6,79.41,12.31
95015,63.3,84.43,12.0
95025,39.8,46.29,21.21
95200,25.7,32.11,15.0
97001,65.5,78.48,14.1
97161,80.7,95.56,12.5
97511,51.3,62.55,25.0
97666,120.1,154.46,12.5
97889,82.7,95.39,16.67
99001,97.6,111.35,70.59
99524,51.8,56.93,70.59
99624,74.1,83.96,20.0
99773,80.8,100.1,31.29
