CÓDIGO_MUNICIPIO,TASA_MATRICULACIÓN_5_16,COBERTURA_BRUTA,SEDES_CONECTADAS_A_INTERNET
15162,83.6,97.18,16.67
15172,78.1,85.43,54.55
15176,78.6,87.78,15.79
15180,69.5,79.28,14.81
15183,78.9,103.05,50.0
15185,87.5,92.02,25.0
15187,29.6,34.22,12.5
15189,97.6,130.09,18.18
15204,83.8,113.24,35.0
15212,76.6,102.84,8.0
15215,100.2,112.53,16.67
15218,79.1,85.49,22.22
15223,68.3,77.6,13.04
15224,68.5,74.27,33.33
15226,84.2,87.6,40.0
15232,64.8,67.34,46.67
15236,87.3,97.79,27.27
15238,97.9,109.77,100.0
15244,75.8,80.58,33.33
15248,87.2,101.56,15.38
15272,75.9,83.83,9.09
15276,60.2,69.2,23.08
15293,110.1,123.35,61.54
15296,82.4,89.92,15.38
15299,72.1,80.57,15.79
15317,82.7,95.1,20.0
15322,103.6,114.44,35.71
15325,72.7,77.14,21.43
15332,35.4,40.63,28.57
15362,77.0,84.84,20.0
15367,72.6,85.77,11.11
15368,85.0,91.99,63.16
15377,55.3,89.4,4.55
15380,93.7,97.21,25.0
15401,54.5,59.62,27.27
15403,96.9,125.98,23.08
15407,88.9,97.17,31.25
15425,70.3,79.1,15.0
15442,57.6,66.45,16.67
15455,78.1,85.24,4.55
15464,82.9,96.98,10.53
15466,78.9,87.1,16.67
15469,93.5,109.11,21.43
15476,50.3,54.85,40.0
15480,86.6,95.36,8.7
15491,73.2,83.56,62.5
15494,65.0,70.78,33.33
15500,56.1,66.47,16.67
15507,54.8,65.05,17.95
15511,78.5,80.17,18.18
15514,75.6,83.5,8.7
15516,100.3,112.79,21.95
15518,130.7,153.79,40.0
15522,127.6,152.92,11.11
15531,57.6,63.36,12.82
15533,103.3,110.64,13.33
15537,71.7,90.56,23.08
15542,74.7,84.46,13.04
15550,119.5,130.47,7.69
15572,82.1,94.58,36.0
15580,62.4,68.56,19.23
15599,90.5,101.05,29.41
15600,29.1,31.17,52.63
15621,72.5,82.35,21.43
15632,87.9,97.33,18.0
15638,85.1,92.66,50.0
15646,82.7,91.99,45.83
15660,60.9,80.13,25.0
15664,68.3,84.77,27.27
15667,92.3,108.02,20.0
15673,77.1,93.34,20.83
15676,65.5,70.29,45.45
15681,56.5,63.59,20.0
15686,83.8,90.56,40.0
15690,74.0,83.08,21.05
15693,80.8,110.13,25.0
15696,86.3,93.95,11.11
15720,76.0,83.78,42.86
15723,94.3,114.22,25.0
15740,78.5,83.18,46.67
15753,115.0,139.83,17.65
15755,90.4,105.71,19.44
15757,104.5,136.92,14.29
15759,114.4,129.9,100.0
15761,69.6,82.85,30.0
15762,75.8,87.43,55.56
