NoACCESOSFIJOSAINTERNET,INDICE,COD_MUNICIPIO
2025,"14,54",15806
339,"9,70",15808
12,"0,34",15810
533,"5,71",15814
89,"1,94",15816
80,"2,09",15820
57,"1,04",15822
5,"0,31",15832
387,"6,00",15835
418,"4,73",15837
35,"1,63",15839
208,"2,62",15842
623,"3,70",15861
95,"3,18",15879
157,"3,21",15897
103297,"22,73",17001
2129,"9,10",17013
4359,"11,67",17042
528,"4,89",17050
667,"6,12",17088
8595,"16,12",17174
290,"2,49",17272
16096,"21,45",17380
331,"5,28",17388
1495,"8,01",17433
881,"9,52",17442
960,"7,04",17444
51,"1,89",17446
1570,"7,29",17486
823,"13,44",17495
1173,"7,48",17513
1215,"7,60",17524
1588,"7,85",17541
4316,"8,03",17614
555,"4,93",17616
1295,"6,49",17653
1144,"5,37",17662
338,"6,89",17665
2974,"9,96",17777
1234,"11,80",17867
14028,"20,45",17873
2768,"21,04",17877
26452,"14,87",18001
17,"0,36",18029
346,"3,02",18094
461,"1,41",18150
19,"0,24",18205
1288,"6,38",18247
1322,"6,91",18256
351,"2,26",18410
299,"2,92",18460
96,"2,46",18479
431,"1,56",18592
25,"0,18",18610
4385,"8,10",18753
99,"0,82",18756
152,"2,39",18785
232,"3,18",18860
73089,"21,53",19001
13,"0,07",19022
415,"1,49",19050
206,"0,92",19075
847,"2,15",19100
109,"0,31",19110
565,"1,27",19130
314,"0,73",19137
224,"0,72",19142
921,"3,44",19212
3566,"6,24",19256
847,"15,56",19290
20,"0,10",19300
264,"0,90",19318
131,"0,43",19355
482,"2,52",19364
114,"1,01",19392
11,"0,04",19397
124,"0,63",19418
523,"2,12",19450
2421,"7,25",19455
594,"1,43",19473
43,"0,41",19513
162,"0,33",19517
846,"2,17",19532
18,"0,19",19533
1970,"4,53",19548
3812,"8,64",19573
23,"0,12",19585
71,"0,58",19622
18,"0,15",19693
10986,"9,40",19698
36,"0,64",19701
812,"2,03",19743
19,"0,13",19760
33,"0,10",19780
22,"0,22",19785
2614,"6,94",19807
175,"0,63",19809
90,"0,24",19821
78,"0,30",19824
394,"1,80",19845
95022,"17,00",20001
12143,"9,61",20011
5184,"7,43",20013
106,"0,46",20032
938,"3,78",20045
3730,"8,09",20060
531,"1,36",20175
1119,"3,52",20178
1370,"3,20",20228
1192,"3,46",20238
442,"1,03",20250
112,"0,65",20295
9,"0,19",20310
1077,"5,48",20383
5310,"9,91",20400
384,"3,32",20443
809,"3,80",20517
767,"3,23",20550
511,"1,66",20570
45,"0,23",20614
1166,"3,66",20621
2250,"7,46",20710
642,"2,95",20750
1836,"6,01",20770
229,"1,31",20787
71751,"13,72",23001
4777,"9,80",23068
951,"4,21",23079
235,"1,43",23090
7822,"6,91",23162
104,"0,55",23168
4324,"8,45",23182
1615,"2,56",23189
499,"2,45",23300
627,"4,00",23350
4247,"3,61",23417
142,"0,70",23419
831,"3,97",23464
2820,"3,28",23466
616,"1,92",23500
4920,"7,21",23555
2292,"5,98",23570
135,"0,53",23574
2043,"4,53",23580
453,"2,46",23586
5091,"4,42",23660
620,"1,23",23670
3051,"8,41",23672
209,"0,53",23675
265,"0,92",23678
668,"4,58",23682
810,"1,48",23686
8168,"8,26",23807
629,"1,11",23815
2548,"6,67",23855
1205,"8,84",25001
606,"8,09",25019
3023,"17,62",25035
1384,"8,62",25040
1103,"9,04",25053
85,"4,09",25086
11,"0,39",25095
1577,"13,33",25099
134,"2,43",25120
769,"6,62",25123
36327,"36,90",25126
916,"6,38",25148
2639,"13,27",25151
521,"5,97",25154
17,"0,35",25168
50987,"32,22",25175
801,"7,27",25178
322,"2,53",25181
1706,"7,07",25183
2467,"9,47",25200
10861,"27,80",25214
714,"8,02",25224
2494,"8,85",25245
133,"2,50",25258
5134,"20,27",25260
34153,"20,50",25269
339,"2,43",25279
410,"6,17",25281
25275,"22,63",25286
434,"7,67",25288
40479,"24,51",25290
114,"2,28",25293
3670,"18,22",25295
839,"8,76",25297
326,"9,17",25299
25618,"21,45",25307
404,"4,90",25312
1493,"9,61",25317
2365,"6,59",25320
1669,"9,28",25322
44,"1,32",25324
307,"4,16",25326
235,"4,56",25328
508,"6,93",25335
22,"0,56",25339
65,"2,51",25368
121,"1,83",25372
8838,"25,02",25377
6118,"15,78",25386
429,"3,96",25394
20,"0,30",25398
2222,"11,10",25402
885,"7,53",25407
49,"0,70",25426
39475,"29,30",25430
1331,"31,44",25436
184,"2,02",25438
41698,"27,57",25473
65,"2,37",25483
2310,"14,82",25486
461,"3,62",25488
49,"1,18",25489
104,"1,47",25491
11,"0,23",25506
4303,"15,15",25513
15,"0,32",25518
451,"7,79",25524
100,"1,02",25530
469,"4,46",25535
2196,"12,08",25572
43,"1,12",25580
124,"2,30",25592
244,"4,17",25594
149,"2,09",25596
850,"8,89",25599
4291,"28,00",25612
569,"4,11",25645
21,"0,22",25649
232,"4,18",25653
1397,"11,01",25658
233,"2,48",25662
3278,"26,19",25718
2253,"16,68",25736
8476,"21,32",25740
1787,"7,05",25743
2181,"14,40",25745
173824,"22,21",25754
4554,"14,80",25758
2113,"12,04",25769
1929,"9,59",25772
251,"4,16",25777
329,"4,38",25779
661,"9,55",25781
6969,"27,13",25785
402,"4,27",25793
516,"4,60",25797
4397,"16,90",25799
197,"3,93",25805
96,"2,64",25807
897,"4,90",25815
14981,"31,93",25817
126,"2,68",25823
162,"1,86",25839
221,"2,86",25841
10270,"20,30",25843
299,"3,70",25845
188,"3,83",25851
29,"0,37",25862
186,"3,66",25867
113,"5,60",25871
1086,"5,41",25873
6683,"21,13",25875
1269,"8,32",25878
59,"0,42",25885
255,"4,68",25898
37048,"23,81",25899
13751,"9,67",27001
478,"3,06",27006
61,"0,20",27025
20,"0,30",27050
43,"0,37",27073
422,"3,74",27075
354,"1,06",27077
170,"1,26",27099
23,"0,34",27135
132,"0,61",27150
178,"2,92",27160
811,"5,94",27205
258,"2,83",27245
97,"0,39",27250
2795,"8,42",27361
142,"1,92",27372
20,"0,19",27413
33,"0,26",27425
44,"0,26",27430
225,"1,94",27450
48,"0,47",27491
511,"2,85",27495
12,"0,21",27580
872,"9,69",27600
551,"0,89",27615
15,"0,27",27660
32,"0,90",27745
640,"3,23",27787
215,"1,51",27800
20,"0,27",27810
96384,"25,36",41001
2839,"10,60",41006
260,"2,76",41013
475,"2,74",41016
1929,"8,02",41020
512,"11,24",41026
144,"1,62",41078
2833,"8,56",41132
25,"0,32",41206
214,"4,72",41244
3397,"4,37",41298
2295,"8,72",41306
1550,"8,05",41319
197,"2,54",41349
619,"6,23",41357
1085,"3,99",41359
1168,"8,41",41378
5494,"8,37",41396
411,"5,91",41483
929,"7,41",41503
705,"9,96",41518
1591,"5,63",41524
259,"2,14",41530
888,"6,00",41548
14918,"11,12",41551
1174,"4,49",41615
587,"5,21",41660
2583,"7,27",41668
376,"3,37",41676
620,"2,63",41770
672,"3,58",41791
1059,"9,23",41797
145,"1,15",41799
565,"6,57",41801
1680,"7,18",41807
96,"1,23",41872
657,"7,99",41885
28568,"12,84",44001
1377,"3,92",44035
1927,"4,49",44078
512,"1,12",44090
254,"1,66",44098
450,"5,33",44110
3532,"7,03",44279
809,"3,38",44378
15,"0,37",44420
11035,"5,51",44430
889,"0,92",44560
2915,"5,31",44650
1693,"0,88",44847
693,"5,51",44855
583,"1,76",44874
109566,"19,74",47001
1217,"6,93",47030
1392,"3,10",47053
980,"2,91",47058
5,"0,04",47161
315,"1,28",47170
11666,"8,83",47189
5,"0,04",47205
2266,"3,09",47245
172,"0,68",47258
603,"2,79",47268
7099,"9,57",47288
1236,"4,13",47318
494,"2,23",47460
5,"0,05",47541
465,"3,44",47545
2962,"7,12",47551
5476,"7,86",47555
468,"1,39",47570
206,"1,61",47605
444,"2,54",47660
486,"4,05",47675
590,"2,67",47692
86,"0,65",47703
374,"1,35",47707
641,"5,52",47720
639,"2,10",47745
403,"2,73",47798
3,"0,03",47960
565,"0,73",47980
135769,"23,49",50001
20671,"21,65",50006
214,"3,02",50110
83,"1,27",50124
818,"5,22",50150
242,"3,15",50223
3479,"14,00",50226
13,"0,70",50245
16,"0,19",50251
11,"0,26",50270
383,"2,91",50287
5859,"7,81",50313
1206,"7,85",50318
67,"0,90",50325
823,"6,75",50330
670,"2,32",50350
499,"5,00",50370
421,"3,40",50400
23,"0,25",50450
4104,"9,02",50568
2492,"7,53",50573
33,"0,29",50577
406,"2,97",50590
3954,"19,88",50606
298,"2,22",50680
150,"1,52",50683
12,"0,87",50686
1236,"4,20",50689
597,"3,12",50711
87688,"21,34",52001
403,"4,03",52019
104,"1,34",52022
231,"2,55",52036
73,"0,81",52051
543,"0,93",52079
2679,"40,46",52083
1002,"4,02",52110
284,"3,22",52203
441,"3,06",52207
305,"4,02",52210
187,"1,15",52215
313,"3,25",52224
183,"0,47",52227
242,"3,93",52233
1562,"9,85",52240
132,"0,57",52250
470,"6,08",52254
466,"3,63",52256
723,"4,82",52258
1365,"9,22",52260
80,"1,07",52287
860,"4,23",52317
354,"2,97",52320
144,"1,96",52323
282,"3,55",52352
444,"5,59",52354
11312,"9,36",52356
1418,"7,30",52378
594,"5,68",52381
608,"9,16",52385
19,"0,25",52390
648,"1,95",52399
188,"1,85",52405
269,"2,56",52411
756,"7,74",52418
277,"1,07",52427
698,"7,43",52435
66,"0,53",52473
412,"9,07",52480
58,"0,22",52490
338,"4,57",52506
13,"0,09",52520
1028,"9,97",52540
38,"0,35",52560
116,"2,00",52565
77,"0,87",52573
705,"3,88",52585
37,"0,18",52612
193,"1,46",52621
1173,"3,92",52678
940,"4,42",52683
432,"4,51",52685
413,"2,14",52687
798,"5,04",52693
7,"0,10",52694
90,"0,64",52696
455,"4,03",52699
336,"4,40",52720
763,"4,12",52786
295,"2,10",52788
8356,"3,15",52835
2925,"6,30",52838
828,"7,26",52885
128355,"15,92",54001
1072,"3,01",54003
